"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2002","NYY","2135","6377","5601","897","1540",".275",".354",".455",".809",".180","991","314","12","223","640","1171","100","38",".352","116","28.5"
"2002","TEX","2389","6332","5618","843","1510",".269",".338",".455",".794",".187","949","304","27","230","554","1055","62","34",".343","103","21.9"
"2002","BOS","2172","6332","5640","859","1560",".277",".345",".444",".789",".168","1002","348","33","177","545","944","80","28",".343","107","24.2"
"2002","CHW","2208","6208","5502","856","1475",".268",".338",".449",".787",".181","940","289","29","217","555","952","75","31",".342","105","22.5"
"2002","SFG","2263","6298","5497","783","1465",".267",".344",".442",".786",".175","932","300","35","198","616","961","74","21",".338","109","35.1"
"2002","OAK","2312","6291","5558","800","1450",".261",".339",".432",".771",".171","938","279","28","205","609","1008","46","20",".337","106","23.1"
"2002","ANA","2307","6327","5678","851","1603",".282",".341",".433",".773",".150","1086","333","32","152","462","805","117","51",".336","105","28.2"
"2002","ARI","2331","6318","5508","819","1471",".267",".346",".423",".769",".156","982","283","41","165","643","1016","92","46",".335","97","22.1"
"2002","SEA","2251","6362","5569","814","1531",".275",".350",".419",".769",".144","1063","285","31","152","629","1003","137","58",".335","110","31.3"
"2002","MIN","2289","6196","5582","768","1518",".272",".332",".437",".769",".165","967","348","36","167","472","1089","79","62",".334","101","25.7"
"2002","COL","2393","6165","5512","778","1508",".274",".337",".423",".760",".149","1032","283","41","152","497","1043","103","53",".331","82","9.6"
"2002","PHI","2260","6323","5524","710","1428",".259",".339",".422",".761",".163","897","325","41","165","640","1095","104","43",".331","101","23.9"
"2002","STL","2366","6246","5505","787","1475",".268",".338",".425",".763",".157","989","285","26","175","542","927","86","42",".331","101","30.4"
"2002","HOU","2342","6252","5503","749","1441",".262",".338",".417",".755",".156","951","291","32","167","589","1120","71","27",".329","94","18.6"
"2002","TOR","2236","6230","5581","813","1457",".261",".327",".430",".757",".169","927","305","38","187","522","1142","71","18",".329","97","18.9"
"2002","MON","2262","6250","5479","735","1432",".261",".334",".418",".752",".157","934","300","36","162","575","1104","118","64",".326","93","13.2"
"2002","FLA","2319","6263","5496","699","1433",".261",".337",".403",".740",".142","975","280","32","146","595","1130","177","73",".323","97","19.1"
"2002","ATL","2319","6224","5495","708","1428",".260",".331",".409",".741",".150","959","280","25","164","558","1028","76","39",".322","94","20.5"
"2002","CIN","2353","6254","5470","709","1386",".253",".330",".408",".738",".155","899","297","21","169","583","1188","116","52",".322","91","16.6"
"2002","CLE","2236","6099","5423","739","1349",".249",".321",".412",".733",".163","876","255","26","192","542","1000","52","37",".320","95","10.4"
"2002","CHC","2294","6242","5496","706","1351",".246",".321",".413",".734",".167","863","259","29","200","585","1269","63","21",".320","93","17.1"
"2002","LAD","2302","6146","5554","713","1464",".264",".320",".409",".729",".146","994","286","29","155","428","940","96","37",".317","96","23.7"
"2002","KCR","2248","6206","5535","737","1415",".256",".323",".398",".721",".143","948","285","42","140","524","921","140","65",".316","85","7.2"
"2002","NYM","2389","6150","5496","690","1409",".256",".322",".395",".717",".139","989","238","22","160","486","1044","87","42",".314","91","17.6"
"2002","MIL","2329","6083","5415","627","1369",".253",".320",".390",".711",".137","932","269","29","139","500","1125","94","50",".312","86","9.9"
"2002","BAL","2217","6096","5491","667","1353",".246",".309",".403",".712",".157","850","311","27","165","452","993","110","48",".311","90","13.5"
"2002","SDP","2372","6178","5515","662","1393",".253",".321",".381",".702",".129","985","243","29","136","547","1062","71","44",".309","91","13.1"
"2002","TBD","2007","6198","5604","673","1418",".253",".314",".390",".704",".137","953","297","35","133","456","1115","102","45",".309","87","11.5"
"2002","PIT","2343","6049","5330","641","1300",".244",".319",".381",".700",".137","875","263","20","142","537","1109","86","49",".308","84","12.7"
"2002","DET","2096","5920","5406","575","1340",".248",".300",".379",".679",".132","914","265","37","124","363","1035","65","44",".297","82","-1.0"
