"#","LG","YEAR","TEAM","G","PA","AB","R","TB","H","AVG","OBP","SLG","OPS","ISO","HR","HRr","BB","BBr","SO","SOr","SO/BB","SB","CS","SB%","DRC+","DRAA","BWARP"
"1","AL","2012","ANA","162","6,121","5,536","767","2396","1,518",".274",".332",".433",".764",".159","187","0.0306","449","0.073","1,113","0.182","2.66","134","33","80.2","112","10.4","27.5"
"2","AL","2012","NYA","162","6,231","5,524","804","2503","1,462",".265",".337",".453",".790",".188","245","0.0393","565","0.091","1,176","0.189","2.15","93","27","77.5","111","9.2","25.7"
"3","AL","2012","MIN","162","6,209","5,562","701","2171","1,448",".260",".325",".390",".715",".130","131","0.0211","505","0.081","1,069","0.172","2.46","135","37","78.5","99","3.5","15.2"
"4","AL","2012","KCA","162","6,149","5,636","676","2254","1,492",".265",".317",".400",".716",".135","131","0.0213","404","0.066","1,032","0.168","2.77","132","38","77.7","97","1.3","16.3"
"5","AL","2012","SEA","162","6,057","5,494","619","2027","1,285",".234",".296",".369",".665",".135","149","0.0246","466","0.077","1,259","0.208","3.42","104","35","74.8","90","-3.0","5.5"
"6","AL","2012","DET","162","6,119","5,476","726","2313","1,467",".268",".335",".422",".757",".154","163","0.0266","511","0.084","1,103","0.180","2.51","59","23","72.0","109","10.8","19.7"
"7","AL","2012","OAK","162","6,183","5,527","713","2231","1,315",".238",".310",".404",".714",".166","195","0.0315","550","0.089","1,387","0.224","2.65","122","32","79.2","101","2.3","18.4"
"8","AL","2012","CLE","162","6,195","5,525","667","2107","1,385",".251",".324",".381",".705",".131","136","0.0220","555","0.090","1,087","0.175","2.38","110","44","71.4","96","1.5","9.3"
"9","AL","2012","TBA","162","6,105","5,398","697","2128","1,293",".240",".317",".394",".711",".155","175","0.0287","571","0.094","1,323","0.217","2.52","134","44","75.3","100","2.6","18.1"
"10","AL","2012","CHA","162","6,111","5,518","748","2328","1,409",".255",".318",".422",".740",".167","211","0.0345","461","0.075","1,203","0.197","2.98","109","43","71.7","100","3.0","19.7"
"11","AL","2012","BOS","162","6,166","5,604","734","2325","1,459",".260",".315",".415",".730",".155","165","0.0268","428","0.069","1,197","0.194","3.21","97","31","75.8","98","2.1","15.6"
"12","AL","2012","BAL","162","6,160","5,560","712","2319","1,375",".247",".311",".417",".728",".170","214","0.0347","480","0.078","1,315","0.213","3.08","58","29","66.7","97","1.5","17.4"
"13","AL","2012","TOR","162","6,094","5,487","716","2231","1,346",".245",".309",".407",".716",".161","198","0.0325","473","0.078","1,251","0.205","3.16","123","41","75.0","96","0.6","17.1"
"14","AL","2012","TEX","162","6,216","5,590","808","2493","1,526",".273",".334",".446",".780",".173","200","0.0322","478","0.077","1,103","0.177","2.28","91","44","67.4","114","11.0","27.6"
"15","NL","2012","SLN","162","6,326","5,622","765","2367","1,526",".271",".338",".421",".759",".150","159","0.0251","533","0.084","1,192","0.188","2.53","91","37","71.1","101","7.9","24.8"
"16","NL","2012","PHI","162","6,172","5,544","684","2215","1,414",".255",".317",".400",".716",".144","158","0.0256","454","0.074","1,094","0.177","2.68","116","23","83.5","87","-1.4","13.3"
"17","NL","2012","PIT","162","6,014","5,412","651","2138","1,313",".243",".304",".395",".699",".152","170","0.0283","444","0.074","1,354","0.225","3.22","73","52","58.4","92","3.3","9.0"
"18","NL","2012","SDN","162","6,112","5,422","651","2060","1,339",".247",".319",".380",".699",".133","121","0.0198","539","0.088","1,238","0.203","2.79","155","46","77.1","88","-0.2","15.2"
"19","NL","2012","SFN","162","6,200","5,558","718","2205","1,495",".269",".327",".397",".724",".128","103","0.0166","483","0.078","1,097","0.177","2.92","118","39","75.2","92","1.9","18.6"
"20","NL","2012","NYN","162","6,091","5,450","650","2102","1,357",".249",".316",".386",".701",".137","139","0.0228","503","0.083","1,250","0.205","2.51","79","38","67.5","89","0.5","15.0"
"21","NL","2012","ARI","162","6,150","5,462","734","2284","1,416",".259",".328",".418",".746",".159","165","0.0268","539","0.088","1,266","0.206","2.88","93","51","64.6","97","5.5","22.4"
"22","NL","2012","ATL","162","6,126","5,425","700","2111","1,341",".247",".320",".389",".709",".142","149","0.0243","567","0.093","1,289","0.210","2.65","101","32","75.9","94","3.9","26.5"
"23","NL","2012","CHN","162","5,967","5,411","613","2045","1,297",".240",".302",".378",".680",".138","137","0.0230","447","0.075","1,235","0.207","2.61","94","45","67.6","82","-2.0","9.8"
"24","NL","2012","CIN","162","6,115","5,477","669","2249","1,377",".251",".315",".411",".726",".159","172","0.0281","481","0.079","1,266","0.207","3.72","87","27","76.3","90","0.2","18.8"
"25","NL","2012","COL","162","6,183","5,577","758","2434","1,526",".274",".330",".436",".766",".163","166","0.0268","450","0.073","1,213","0.196","3.22","100","40","71.4","90","0.1","10.2"
"26","NL","2012","HOU","162","6,014","5,407","583","2008","1,276",".236",".302",".371",".673",".135","146","0.0243","463","0.077","1,365","0.227","3.55","105","46","69.5","81","-3.5","5.4"
"27","NL","2012","LAN","162","6,091","5,438","637","2032","1,369",".252",".317",".374",".690",".122","116","0.0190","481","0.079","1,156","0.190","2.68","104","44","70.3","87","-0.6","11.0"
"28","NL","2012","MIA","162","6,057","5,437","609","2077","1,327",".244",".308",".382",".690",".138","137","0.0226","484","0.080","1,228","0.203","2.83","149","41","78.4","90","1.9","13.4"
"29","NL","2012","MIL","162","6,224","5,557","776","2426","1,442",".260",".325",".437",".762",".177","202","0.0325","466","0.075","1,240","0.199","2.62","158","39","80.2","95","4.7","20.8"
"30","NL","2012","WAS","162","6,221","5,615","731","2401","1,468",".261",".322",".428",".750",".166","194","0.0312","479","0.077","1,325","0.213","3.46","105","35","75.0","95","3.1","17.2"
